,s1t,s2t,s1ts
Linear Regression,0.5833237453015411,0.5767939773943351,0.5833237453015385
Decision Tree,0.7334635195383785,0.7309376701261978,0.7333855481480238
Polynomial Regression,0.6555202400333522,0.641701940335651,0.6555206032014571
Lasso,0.5833231105878571,0.5767940074550173,0.5833237152676322
Ridge,0.5833236523176497,0.5767939969784318,0.5833236404779434
Elastic Net,0.5833220897116751,0.5767941623902155,0.5833237068233627
XGBoost,0.8124113428267183,0.8090852801235904,0.8119483416852029
