,s1,s2,s1t,s2t,s1s,s2s,s1ts,s2ts
Linear Regression,0.5002293504974382,0.5012830842690563,0.5811830066063757,0.5758591738777713,0.500229350497439,0.501283084269056,0.5811830066063755,0.5758591738777707
Decision Tree,0.7191321570593311,0.7162654817652135,0.7320326428707522,0.7282670530692279,0.719092442677923,0.7161973737747759,0.7319803700667274,0.7284125054060258
Polynomial Regression,0.6303151433352268,0.6277962501011707,0.655291482840073,0.6423668215526843,0.6303287954245419,0.6277964083529215,0.6553089146811713,0.6423668376112801
Lasso,0.5002293383970373,0.5012830659000649,0.5811826835087995,0.5758585433181131,0.5002293499977787,0.5012830138597415,0.5811829873205576,0.5758591523060737
Ridge,0.500229156102151,0.5012829221934961,0.5811829474147967,0.5758590913896116,0.5002293303580112,0.5012830307186575,0.5811829856822286,0.5758591393488703
Elastic Net,0.5002271497280477,0.5012812257312707,0.5811820036470916,0.575857638437177,0.5002293304675802,0.5012830308513785,0.5811829838668566,0.5758591373062605
XGBoost,0.8004496398938323,0.7975343399921923,0.8104547826962725,0.8060589131184418,0.7995800667449532,0.7985037683831981,0.8106045624175426,0.806437521910173
