,s1,s2,s1t,s2t,s1s,s2s,s1ts,s2ts
Linear Regression,0.5015515948246356,0.5024925719587041,0.5825218887338579,0.5770694175065749,0.5015515948246343,0.5024925719587063,0.5825218887338567,0.5770694175065777
Decision Tree,0.719725073651287,0.7175432451490595,0.7326218927749371,0.7290908666431151,0.7197396443254807,0.7175972498723906,0.7327228486486099,0.7291106756536013
Polynomial Regression,0.6311258855562836,0.6286744688217922,0.6561002253049601,0.643251278158428,0.6311715712618453,0.6286746117573789,0.6561343776201964,0.643251338143929
Lasso,0.5015515811617128,0.5024925544715252,0.5825214928291547,0.5770688167018923,0.5015515302969654,0.5024925101578849,0.5825218615637189,0.5770693986101947
Ridge,0.5015513989485362,0.502492411820722,0.5825218274405567,0.5770693360943737,0.501551573263481,0.5024925201684006,0.582521865839266,0.5770693844051153
Elastic Net,0.50154937645202,0.5024907357288475,0.5825207973283889,0.5770679208631189,0.5015515733707059,0.5024925203030377,0.5825218632502802,0.5770693826250713
XGBoost,0.8000973065089367,0.7979953206472645,0.8109860834346352,0.8071311153583947,0.8001054319972647,0.7987920098259165,0.8103813947671157,0.806405678914863
