,s1t,s2t,s1ts
Linear Regression,0.582520643248463,0.5770735524368659,0.5825206432484611
Decision Tree,0.73258001109311,0.7290167885694198,0.7326041749606067
Polynomial Regression,0.6560535062844437,0.6432399198631893,0.6561369429337076
Lasso,0.5825202942356218,0.577072947766343,0.5825206190908865
Ridge,0.5825205824696578,0.5770734710140341,0.582520620351707
Elastic Net,0.5825195996647622,0.5770720522018487,0.5825206180649073
XGBoost,0.8109350367092325,0.8072507135378537,0.8106684295947686
