,s1t,s2t,s1ts
Linear Regression,0.5837020630113468,0.5770876436149661,0.583702063011347
Decision Tree,0.7335540685355882,0.7309182746042513,0.7334810919800173
Polynomial Regression,0.6557688632109738,0.6419882902963248,0.6557697281779575
Lasso,0.583701424790265,0.5770876833804823,0.5837020320990421
Ridge,0.583701969791746,0.5770876625788284,0.5837019570280715
Elastic Net,0.5837004017929366,0.5770878306605818,0.5837019547162696
XGBoost,0.8121933705661577,0.8086025073159344,0.8122509222531222
